Amaroo School, ACT
Amata Anangu School, SA
Amaze Early Education Centre, QLD
Ambarvale Public School, NSW
Amberley District State School, QLD
Ambrose State School, QLD
Amiens State School, QLD
Amigoss Preschool, NSW
Amoonguna School, NT
Amphitheatre Primary School, VIC
Ampilatwatja School, NT
Amsleigh Park Primary School, VIC
Anakie Primary School, VIC
Anakie State School, QLD
ANA Kindergarten, NSW
Ananda Marga Preschool and Day Care Centre, VIC
Ananda Marga River School, QLD
Andale School, VIC
Andamooka Primary School, SA
Andergrove State School, QLD
Andersons Creek Primary School, VIC
Andrews Community Kindergarten, VIC
Anduna Mitchell Kindergarten, QLD
Angaston Primary School, SA
Angels Kindergarten, NSW
Angel's Paradise Preschool and Long Day Care, NSW
Angels Preschool, NSW
Angels Preschool Kindergarten, NSW
Anglesea Preschool, VIC
Anglesea Primary School, VIC
Angle Vale Preschool, SA
Angle Vale Primary School, SA
Anglican Church Grammar School, QLD
Angurugu Community Education Centre, NT
Anna Bay Public School, NSW
Annandale Christian School, QLD
Annandale North Public School, NSW
Annandale Public School, NSW
Annandale Public School, NSW
Annandale State School, QLD
Annangrove Preschool, NSW
Annangrove Preschool Child Care Centre, NSW
Annangrove Public School, NSW
Anne Shearer Kindergarten and Preschool, QLD
Annesley Junior School, SA
Annie Todd Kindergarten, VIC
Annunciation School, VIC
Another World for Kids Kindergarten, NSW
Anson Street School, NSW
Antonine College, VIC
Antonio Catholic School, SA
Antonio Park Primary School, VIC
Anula Preschool, NT
Anula Primary School, NT
Anzac Terrace Kindy, WA
Anzac Terrace Primary School, WA
Anzac Village Preschool, NSW
Apex Preschool Centre, VIC
Apollo Bay P-12 College, VIC
Apollo Drive Kindergarten, VIC
Apollo Parkways Preschool, VIC
Apollo Parkways Primary School, VIC
Appin Park Primary School, VIC
Appin Public School, NSW
Applecross Primary School, WA
Applecross Primary School Kindergarten Program, WA
Applethorpe State School, QLD
Appletree Early Education & Preschool, NSW
Appletree Hill Preschool, VIC
Appletree Preschool, NSW
Appllo Bay Preschool, VIC
Apsley Primary School, VIC
Aquinas College, WA
Araluen Christian College, NT
Araluen Primary School, VIC
Aramac State School, QLD
Arana Hills Preschool and Kindergarten, QLD
Aranda Preschool, ACT
Aranda Primary School, ACT
Aranmore Catholic Primary School, WA
Ararat North Primary School, VIC
Ararat Primary School, VIC
Ararat West Primary School, VIC
Aratula State School, QLD
Arawang Primary School, ACT
Arbor Grove Primary School, WA
Arcadia Public School, NSW
Arcadia Vale Public School, NSW
Arcadia Valley State School, QLD
Archer Court Kindergarten, SA
Ardeer Primary School, VIC
Ardeer South Primary School, VIC
Arden Anglican School, NSW
Arden Anglican School Preschool, NSW
Ardlethan Central School, NSW
Ardlethan Preschool, NSW
Ardmona Primary School, VIC
Ardrossan Area School, SA
Ardross Kindy & Preprimary, WA
Ardross Primary School, WA
Ardtornish Primary School, SA
Areyonga School, NT
Argenton Public School, NSW
Ariah Park Central School, NSW
Ariah Park Preschool, NSW
Ariel Child Care Centre and Preschool, QLD
Arkana College, NSW
Armadale Christian College, WA
Armadale Early Learning Centre, VIC
Armadale Education Support Centre, WA
Armadale Kindy, WA
Armadale Primary School, VIC
Armadale Primary School, WA
Armidale City Public School, NSW
Armidale Community Preschool Kindergarten, NSW
Arncliffe Preschool, NSW
Arncliffe Public School, NSW
Arncliffe West Infants School, NSW
Arncliffe West Infants School Preschool, NSW
Arndell Anglican College, NSW
Arndell Park Early Childhood Learning Centre, VIC
Arndell Special School, NSW
Arndu Preschool, NSW
Arrabri Kindergarten, VIC
Arranounbai School, NSW
Artarmon Public School, NSW
Arthurs Creek Primary School, VIC
Arundel State School, QLD
Ascham School, NSW
Ascham School Kindergarten, NSW
Ascot Centenary Kindergarten, QLD
Ascot Kindergarten, VIC
Ascot Park Kindergarten, SA
Ascot Park Primary School, SA
Ascot State School, QLD
Ascot Vale Primary School, VIC
Ascot Vale Special School, VIC
Ascot Vale West Primary School, VIC
Ashburton Drive Primary School, WA
Ashburton Drive Primary School Kindergarten Prog, WA
Ashburton Primary School, VIC
Ashbury Public School, NSW
Ashby Primary School, VIC
Ashcroft Public School, NSW
Ashcroft Public School Preschool, NSW
Ashdale Primary School, WA
Ashfield Kindy Garden, NSW
Ashfield Preprimary, WA
Ashfield Primary School, WA
Ashfield Public School, NSW
Ashfield Stathfield Montessori Kindergarten, NSW
Ashford Central School, NSW
Ashford Preschool, NSW
Ashford Special School, SA
Ashgrove Memorial Preschool and Kindergarten, QLD
Ashgrove State School, QLD
Ashgrove West Kindergarten and Preschool Centre, QLD
Ashley School, TAS
Ashmont Preschool, NSW
Ashmont Public School, NSW
Ashmore State School, QLD
Ashtonfield Public School, NSW
Ashton Kindergarten, SA
Ashwell State School, QLD
Ashwood Child Care Centre and Preschool, VIC
Ashwood Childrens Centre, VIC
Ashwood Memorial Kindergarten, VIC
Ashwood School, VIC
Aspect School, NSW
Aspect School, NSW
Aspect South Coast School, NSW
Aspendale Gardens Kindergarten, VIC
Aspendale Gardens Primary School, VIC
Aspendale North Kindergarten, VIC
Aspendale Primary School, VIC
Aspley East Kindergarten and Preschool, QLD
Aspley East State School, QLD
Aspley Special School, QLD
Aspley State School, QLD
Asquith Nusery and Preschool Centre, NSW
Asquith Public School, NSW
Assisi Catholic College, QLD
Association for the Blind Kindergarten, WA
Assumption Primary School, WA
A Step Ahead Early Learning Centre, VIC
Atchison Cottage Child Care Centre Preschool, NSW
Athelstane Public School, NSW
Athelstone Junior Primary School, SA
Athelstone Kindergarten, SA
Athelstone Primary School, SA
Atherton Childrens Centre and Kindergarten, QLD
Atherton Gardens Preschool, VIC
Atherton State School, QLD
Athlone Primary School, VIC
Athol Road Primary School, VIC
Attadale Kindy, WA
Attadale Primary School, WA
Attunga Public School, NSW
Attwood Child Care Centre Kindergarten, VIC
Atwell Primary School, WA
Atwell Primary School Kindergarten, WA
Aubin Grove Primary School, WA
Auburn Kindergarten and Child Care Centre, VIC
Auburn North Public School, NSW
Auburn Preschool Kindergarten, NSW
Auburn Primary School, VIC
Auburn Primary School, SA
Auburn Public School, NSW
